fsku,actual_t10,actual_t11,actual_t12,actual_t1,final_fc_t12,ma3_fc_t12,acc_final_t12,acc_ma3_t12,final_fc_t1,ma3_fc_t1,acc_final_t1,acc_ma3_t1,final_fc_t2,final_fc_t3
33.L1.ICO-060120-002,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
33.L1.ICO-060120-003,0.0,0.0,4,,0,0.0,0.0%,0.0%,2,1.0,,,2,2
33.L1.ICO-060120-004,116.0,4.0,0,3,37,41.0,,,24,40.0,0.0%,0.0%,13,14
33.L1.ICO-060120-005,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
33.L1.ICO-060120-006,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
33.L1.ICO-060120-007,0.0,0.0,0,4,0,6.0,,,0,0.0,0.0%,0.0%,0,0
33.L1.ICO-060120-008,21.0,30.0,26,33,30,32.0,84.6%,75.6%,26,26.0,78.8%,77.8%,27,26
33.L1.ICO-060120-009,0.0,0.0,0,5,0,0.0,,,5,0.0,100.0%,0.0%,0,3
33.L1.ICO-080160-001,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
33.L1.ICO-080160-002,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
33.L1.ICO-080160-003,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
33.L1.ICO-080160-005,4.0,57.0,0,13,48,52.0,,,18,20.0,61.5%,43.6%,20,15
34.L1.ITA-060120-002,11.0,12.0,4,127,26,35.0,0.0%,0.0%,8,9.0,6.3%,7.1%,8,7
34.L1.ITA-060120-003,17.0,4.0,0,9,7,7.0,,,5,7.0,55.6%,77.8%,3,3
34.L1.ITA-060120-006,38.0,0.0,0,,13,15.0,,,0,13.0,,,0,0
34.L1.ITA-060120-007,0.0,0.0,0,,0,1.0,,,0,0.0,,,0,0
36.L1.3060.USC3601,0.0,32.0,32,,32,11.0,100.0%,33.3%,26,21.0,,,29,29
36.L1.3060.USC3601D,23.0,6.0,649,47,57,10.0,8.8%,1.5%,331,226.0,0.0%,0.0%,361,410
36.L1.3060.USC3601V,7.0,24.0,17,62,25,10.0,52.9%,60.8%,17,16.0,27.4%,25.8%,18,18
36.L1.3060.USC3602,766.0,512.0,0,110,688,426.0,,,110,426.0,100.0%,0.0%,30,110
36.L1.3060.USC3602D,455.0,0.0,0,,420,152.0,,,0,152.0,,,0,0
36.L1.3060.USC3602V,251.0,0.0,64,163,360,84.0,0.0%,69.3%,82,105.0,50.3%,64.4%,60,67
36.L1.3060.USC3603,0.0,148.0,0,,303,49.0,,,44,49.0,,,52,39
36.L1.3060.USC3603D,476.0,243.0,0,,273,253.0,,,0,240.0,,,0,0
36.L1.3060.USC3603V,418.0,0.0,0,418,288,139.0,,,0,139.0,0.0%,33.3%,0,0
36.L1.3060.USC3604,8.0,0.0,0,,2,3.0,,,0,3.0,,,0,0
36.L1.3060.USC3604D,0.0,0.0,91,,0,0.0,0.0%,0.0%,46,30.0,,,50,57
36.L1.3060.USC3604V,0.0,0.0,314,56,0,0.0,0.0%,0.0%,157,105.0,0.0%,13.1%,173,196
36.L1.3060.USC3621,288.0,61.0,0,,117,116.0,,,76,116.0,,,50,48
36.L1.3060.USC3621D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3622,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
