fsku,actual_t10,wma_t10,ma3_t10,acc_wma_t10,acc_ma3_t10,actual_t11,wma_t11,ma3_t11,acc_wma_t11,acc_ma3_t11,actual_t12,final_t12,ma3_t12,acc_final_t12,acc_ma3_t12,actual_t1,final_t1,ma3_t1,acc_final_t1,acc_ma3_t1,final_t2,final_t3,actual_t1_num
05.L1.3060.USG36001V,674.0,38.0,38.0,5.637982195845693,5.637982195845693,1067.0,263.0,263.0,24.617307091533903,24.617307091533903,542,847,596.0,43.72693726937269,89.97539975399754,260,726,761.0,0.0,0.0,739,696,260
05.L1.3060.USG36002,761.0,228.0,228.0,29.960578186596585,29.960578186596585,2989.0,482.0,482.0,16.11464257834281,16.11464257834281,2102,2056,1364.0,97.8116079923882,64.89058039961941,1871,2100,1951.0,87.7605558524853,95.74202743630856,2278,2189,1871
05.L1.3060.USG36002D,92.0,0.0,0.0,0.0,0.0,100.0,31.0,31.0,30.666666666666675,30.666666666666675,140,90,64.0,64.28571428571428,45.714285714285715,155,155,111.0,100.0,71.3978494623656,145,148,155
05.L1.3060.USG36002V,47.0,28.0,28.0,58.865248226950364,58.865248226950364,30.0,43.0,43.0,55.55555555555555,55.55555555555555,324,37,42.0,11.419753086419748,12.860082304526754,335,335,134.0,100.0,39.9004975124378,301,314,335
05.L1.3060.USG36003,1190.0,378.0,378.0,31.79271708683473,31.79271708683473,8422.0,775.0,775.0,9.202089764901444,9.202089764901444,1449,5492,3476.0,0.0,0.0,3029,3489,3687.0,84.81346979201057,78.27665896335424,3864,3268,3029
05.L1.3060.USG36003D,197.0,26.0,26.0,13.367174280879867,13.367174280879867,191.0,92.0,92.0,48.167539267015705,48.167539267015705,221,176,136.0,79.63800904977376,61.38763197586727,187,207,203.0,89.3048128342246,91.44385026737967,208,210,187
05.L1.3060.USG36004,1449.0,590.0,590.0,40.717736369910284,40.717736369910284,3579.0,1073.0,1073.0,29.98044146409612,29.98044146409612,1313,2641,1872.0,0.0,57.451129728357444,1215,2020,2114.0,33.744855967078195,26.03566529492457,2120,1929,1215
05.L1.3060.USG36005,2166.0,1107.0,1107.0,51.12342259156664,51.12342259156664,2700.0,1829.0,1829.0,67.75308641975309,67.75308641975309,3979,2524,2471.0,63.43302337270671,62.0926530954176,3074,3233,2948.0,94.82758620689656,95.9119496855346,3350,3441,3074
05.L1.3060.USG36005D,37.0,12.0,12.0,31.53153153153152,31.53153153153152,145.0,24.0,24.0,16.551724137931036,16.551724137931036,134,130,69.0,97.01492537313433,51.243781094527364,188,188,105.0,100.0,56.02836879432624,168,170,188
05.L1.3060.USG36006,1745.0,346.0,346.0,19.847182425978982,19.847182425978982,9391.0,928.0,928.0,9.881801725055904,9.881801725055904,1607,6218,3911.0,0.0,0.0,1545,3970,4248.0,0.0,0.0,4345,3685,1545
05.L1.3060.USG36007,2611.0,537.0,537.0,20.566832631175792,20.566832631175792,1984.0,1407.0,1407.0,70.93413978494623,70.93413978494623,2713,2350,1838.0,86.61997788426096,67.76016709669493,976,2071,2436.0,0.0,0.0,1340,2923,976
05.L1.3060.USG36007D,366.0,119.0,119.0,32.513661202185794,32.513661202185794,162.0,241.0,241.0,51.23456790123457,51.23456790123457,134,214,248.0,40.29850746268657,14.925373134328357,114,188,221.0,35.08771929824561,6.432748538011701,121,265,114
05.L1.3060.USG36008,979.0,728.0,728.0,74.39564181137214,74.39564181137214,1870.0,1055.0,1055.0,56.39928698752228,56.39928698752228,3156,1683,1248.0,53.326996197718636,39.533164343050274,1427,1701,2002.0,80.79887876664331,59.72903527213267,1101,2402,1427
05.L1.3060.USG36009,2917.0,326.0,326.0,11.164438349902861,11.164438349902861,1882.0,1298.0,1298.0,68.96918172157281,68.96918172157281,3218,2625,1836.0,81.57240522063394,57.064429252123475,2802,2271,2672.0,81.04925053533191,95.37235308113253,1470,3207,2802
05.L1.3060.USG36009D,578.0,38.0,38.0,6.57439446366782,6.57439446366782,246.0,231.0,231.0,93.76693766937669,93.76693766937669,136,332,313.0,0.0,0.0,561,561,320.0,100.0,57.04099821746881,365,617,561
05.L1.3060.USG36010,2248.0,163.0,163.0,7.236061684460249,7.236061684460249,1623.0,912.0,912.0,56.19223659889094,56.19223659889094,3357,2023,1407.0,60.26213881441764,41.902492304637086,1904,2048,2409.0,92.43697478991596,73.4593837535014,1325,2891,1904
05.L1.6060.686001,1159.0,2299.0,2299.0,1.66810468794939,1.66810468794939,551.0,1884.0,1884.0,0.0,0.0,501,750,1215.0,50.29940119760479,0.0,1190,648,737.0,54.45378151260505,61.9327731092437,584,587,1190
05.L1.6060.686002,568.0,1088.0,1088.0,8.50938967136149,8.50938967136149,140.0,879.0,879.0,0.0,0.0,658,494,658.0,75.07598784194529,99.94934143870313,1835,485,455.0,26.430517711171664,24.813805631244325,468,511,1835
05.L1.6060.686003,2392.0,3489.0,3489.0,54.13879598662208,54.13879598662208,2168.0,2437.0,2437.0,87.59225092250922,87.59225092250922,2522,2157,2112.0,85.52735923869945,83.756278086175,2152,2390,2361.0,88.94052044609666,90.30359355638167,2385,2414,2152
